tomeID,name,level,role,objective,reward
Anniversary2022,Community: Salvation or Sacrifice,1,General,Complete a total of <b>10</b> of the following as Survivor or Killer:<ul><li><b>Safely unhook Survivor(s).</b></li><li><b>Hook Survivor(s).</b></li></ul>,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Anniversary2022,Community: Cat or Mouse,1,General,Complete a total of <b>180 seconds</b> of the following as Survivor or Killer:<ul><li><b>Be chased by the Killer.</b></li><li><b>Chase Survivor(s).</b></li></ul>,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Anniversary2022,Community: Destroy or Rebuild,1,General,Complete a total of <b>40</b> of the following as Survivor or Killer:<ul><li><b>Succeed at generator skill check(s).</b></li><li><b>Break generator(s).</b></li></ul>,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Anniversary2022,Community: Drop or Chop,1,General,Complete a total of <b>8</b> of the following as Survivor or Killer:<ul><li><b>Drop pallet(s) while being chased by the Killer.</b></li><li><b>Break pallet(s).</b></li></ul>,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Anniversary2022,Life Giver,1,Survivor,Heal a total of <b>3 health state(s)</b> of any Survivor.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Anniversary2022,Nerves of Bloody Steel,1,Survivor,Hide within 10 meters of the Killer while injured for <b>20 seconds</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Anniversary2022,Skilled Operator,1,Survivor,Succeed at <b>15 Skill Check(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Anniversary2022,Eluding the Overlap,1,Survivor,Escape <b>1 trial(s)</b> as <b>Haddie Kaur</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Anniversary2022,Almost Made It,1,Survivor,Go from healthy to injured when vaulting a window or a pallet while in a chase <b>4 times</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Anniversary2022,Light Of The Party,1,Survivor,Finish repairing <b>3 Anniversary generator(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Anniversary2022,Bloody Good,1,Killer,Hit a Survivor with your weapon <b>10 time(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Anniversary2022,Unobstructed,1,Killer,Break <b>5 pallet(s) or breakable wall(s)</b> while in chase.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Anniversary2022,Where You Least Expect,1,Killer,Hit a Survivor within <b>15 seconds</b> of exiting a locker <b>5 time(s)</b> as <b>The Dredge</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Anniversary2022,A Minor Inconvenience,1,Killer,Hit a Survivor <b>3 time(s)</b> within <b>30 seconds</b> of being stunned by any means.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Anniversary2022,Putting Up The Decorations,1,Killer,Hook <b>4 Survivor(s)</b> on <b>Anniversary hooks</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Anniversary2022,Be There Or Be Square,1,General,Collect <b>1 Invitation(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Anniversary2022,Community: Repair or Raze,2,General,Earn a total of <b>5</b> of the following of <b>Gold Quality</b> or better as Survivor or Killer:<ul><li><b>Lightbringer emblem(s).</b></li><li><b>Gatekeeper emblem(s).</b></li></ul>,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
