id,name,description,collection,role,rarity,image
AU_001,New Year ‘21,"No matter the design, we couldn’t make this as horrifying as 2020.",Winter 2020,General,Uncommon,images/Customization/Charms/AU_001.png
AU_002,Killer's Stocking,An assortment of blood-stained weaponry for all the vicious boys and girls.,Winter 2020,Killer,Uncommon,images/Customization/Charms/AU_002.png
AU_003,Fruitcake,An item of unfathomable evil.,Winter 2020,Killer,Rare,images/Customization/Charms/AU_003.png
AU_004,Survivor’s Stocking,It’s packed with all kinds of useful items and the Broken Key.,Winter 2020,Survivor,Uncommon,images/Customization/Charms/AU_004.png
AU_005,Winter Reindeer,"The fact that this ornament hasn’t been slashed, bludgeoned, or vomited on is a holiday miracle.",Winter 2020,Survivor,Rare,images/Customization/Charms/AU_005.png
BI_001,Tower of the&nbsp;Damned,The foundation of a mysterious tower.,Divergence,General,Uncommon,images/Customization/Charms/BI_001.png
BI_002,Tower of the&nbsp;Rising,A half-built tower that holds secrets&nbsp;in its cold walls.,Divergence,General,Rare,images/Customization/Charms/BI_002.png
BI_003,Tower of the&nbsp;Strong,An enigmatic tower that stands out&nbsp;from the barren landscape.,Divergence,General,Very Rare,images/Customization/Charms/BI_003.png
BI_004,Tower of the&nbsp;Observer,A tower bursting with unharnessed possibility.,Divergence,General,Ultra Rare,images/Customization/Charms/BI_004.png
BI_005,Sakura 7,A mock-up of a logo that a Sakura 7 gang member carved into a table.,Survivor Memorabilia,Survivor,Uncommon,images/Customization/Charms/BI_005.png
BI_006,Green&nbsp;Geek,A keychain from the forum Claudette moderated.,Survivor Memorabilia,Survivor,Rare,images/Customization/Charms/BI_006.png
BI_007,Mr. Puddles&nbsp;Stuffie,It’s your wacky elephant pal as a plush&nbsp;toy!&nbsp;He can’t wait to&nbsp;play in&nbsp;your red puddles!&nbsp;<br><br>Design inspired by <b>kangyaku</b>.,Forgotten Toys,Survivor,Rare,images/Customization/Charms/BI_007.png
BI_008,Yui&nbsp;Kimura Figurine,Yui’s&nbsp;favorite speed? Faster.,Vinyl Dolls,Survivor,Very Rare,images/Customization/Charms/BI_008.png
BI_009,Ghost Orchid,A rare flower that grows in Cuba and Florida. Claudette’s favorite.,Survivor Memorabilia,Survivor,Uncommon,images/Customization/Charms/BI_009.png
BI_010,Oni Statuette,The figure of a Japanese ogre. It’s&nbsp;smiling viciously.,Forgotten Toys,Killer,Rare,images/Customization/Charms/BI_010.png
BI_011,Death Do Us Part,Everything Sally held dear was taken away.,Horrible Dolls,Killer,Very Rare,images/Customization/Charms/BI_011.png
BI_012,Shock Splinter,"An artifact once prevalent in The Entity’s realm, it&nbsp;vanished&nbsp;quite suddenly.",Killer Memorabilia,Killer,Uncommon,images/Customization/Charms/BI_012.png
BI_013,Maple Taffy,"A treat made by pouring hot maple sap onto snow. Part&nbsp;of&nbsp;French-Canadian&nbsp;culture, where it’s known as tire&nbsp;d'érable.",Winter’s Bounty,Survivor,Common,images/Customization/Charms/BI_013.png
BI_014,Bone Chill,The hand of someone who succumbed to the cold night.,Winter’s Bounty,Killer,Common,images/Customization/Charms/BI_014.png
BI_015,Frozen&nbsp;Delicious,An oxymoron known as frozen hot cocoa.,Winter’s Bounty,General,Common,images/Customization/Charms/BI_015.png
BI_016,New Moon Bouquet,A relic from the Observer’s tower. Some say these roses once held powerful sway over The Entity’s realm.,The Desolate Prisoner,General,Rare,images/Customization/Charms/BI_016.png
BI_017,Checkered Flag,"A flag marking the end of a race, its significance is diminished in a realm where&nbsp;endings are ambiguous.",Survivor Memorabilia,Survivor,Common,images/Customization/Charms/BI_017.png
BI_018,Knifecicle,A knife-shaped icicle. May be effective at killing snowmen.,Winter’s Bounty,Killer,Uncommon,images/Customization/Charms/BI_018.png
BI_019,Lion Tattoo,"A tattoo Kazan stripped from a man’s skin, deeming him unworthy of wearing such a noble symbol.",Killer Memorabilia,Killer,Uncommon,images/Customization/Charms/BI_019.png
BI_020,Scorched Straitjacket,A relic from the halls of&nbsp;Crotus&nbsp;Prenn&nbsp;Asylum.,Killer Memorabilia,Killer,Rare,images/Customization/Charms/BI_020.png
BI_021,Shattered Globe,"It may have been beautiful once, but such things&nbsp;are the first to break in this realm.",Winter’s Bounty,General,Ultra Rare,images/Customization/Charms/BI_021.png
BI_022,Propulsion Overdrive&nbsp;RK7,A souped-up&nbsp;streetbike&nbsp;that&nbsp;Yui&nbsp;rode to many victories on.,Survivor Memorabilia,Survivor,Rare,images/Customization/Charms/BI_022.png
BI_023,Lady&nbsp;of&nbsp;Yesterday,Sally’s wedding ring. Only a piece of that woman remained.,Fated Paths,Killer,Common,images/Customization/Charms/BI_023.png
BI_024,Lady&nbsp;of Doubt,She doubted the work she performed but had little else&nbsp;remaining.,Fated Paths,Killer,Common,images/Customization/Charms/BI_024.png
BI_025,Lady&nbsp;of&nbsp;Despair,The death of her husband tore her soul apart.,Fated Paths,Killer,Common,images/Customization/Charms/BI_025.png
BI_026,Lady&nbsp;of&nbsp;Melancholy,She was drifting towards a monstrous act as she succumbed to the darkness.,Fated Paths,Killer,Common,images/Customization/Charms/BI_026.png
BI_027,Lady&nbsp;of&nbsp;Malice,She understood her purpose now. And it was to cleanse.,Fated Paths,Killer,Uncommon,images/Customization/Charms/BI_027.png
BI_028,Broken Racer,"The dream felt real. And in it, she was&nbsp;utterly destroyed.",Fated Paths,Survivor,Common,images/Customization/Charms/BI_028.png
BI_029,Devastated Racer,She felt empty after witnessing the horrible crash of her friend.,Fated Paths,Survivor,Common,images/Customization/Charms/BI_029.png
BI_030,Furious Racer,There was a thought she couldn’t purge from her mind: Revenge.,Fated Paths,Survivor,Common,images/Customization/Charms/BI_030.png
BI_031,Conflicted Racer,What does it matter if you gain the world if you lose your humanity?,Fated Paths,Survivor,Common,images/Customization/Charms/BI_031.png
BI_032,Noble&nbsp;Racer,She&nbsp;realized&nbsp;some things&nbsp;are more important than first place.,Fated Paths,Survivor,Uncommon,images/Customization/Charms/BI_032.png
BI_033,Lunar Ox,A strong and reliable beast with an indomitable will.,Gilded Stampede,General,Special Event,images/Customization/Charms/BI_033.png
BI_034,The Campfire,A beacon of hope in a realm of suffering and despair.,Mementos of Prominence,General,Rare,images/Customization/Charms/BI_034.png
DR_001,The Observer's Burrow,"An old, disheveled room that reeks of despair.",Forsaken,General,Uncommon,images/Customization/Charms/DR_001.png
DR_002,The Observer's Hovel,"A squalid home, but far better than the rest of The Entity's Realm.",Forsaken,General,Rare,images/Customization/Charms/DR_002.png
DR_003,The Observer's Shelter,A reprieve from the nearby horrors.,Forsaken,General,Very Rare,images/Customization/Charms/DR_003.png
DR_004,The Observer's Sanctum,"Warm and peaceful, the only danger being the tedium of isolation.",Forsaken,General,Ultra Rare,images/Customization/Charms/DR_004.png
DR_005,Safe Room Exit,Maybe it's best to lay low and wait for all of this to blow over.,Green Flu,Survivor,Uncommon,images/Customization/Charms/DR_005.png
