id,survivorID,killerID,outfitID,name,description,role,type,collection,rarity,purchasable,image
AV_Head001,6,,Ace_outfit_003,Night Owl Sunglasses,"With these cool shades, they will never see you coming.",Survivor,Head,Smoking Jacket,Very Rare,1,images/Customization/Ace/AV_Head001.png
AV_Head001_01,6,,Ace_outfit_001,Ready to Roll,,Survivor,Head,Smoking Jacket,Very Rare,1,images/Customization/Ace/AV_Head001_01.png
AV_Head001_02,6,,Ace_outfit_002,Gilded Gambler,The pencil mustache means business!,Survivor,Head,Smoking Jacket,Very Rare,1,images/Customization/Ace/AV_Head001_02.png
AV_Head002,6,,Ace_outfit_009,Trust Me Trilby,Pro tip: sunglasses hide the hangover.,Survivor,Head,Loveable Rogue,Rare,1,images/Customization/Ace/AV_Head002.png
AV_Head002_01,6,,Ace_outfit_007,Shady Trilby,,Survivor,Head,Loveable Rogue,Rare,1,images/Customization/Ace/AV_Head002_01.png
AV_Head002_02,6,,Ace_outfit_008,Fancy Fraud Trilby,"With an elegant, antique handlebar, what could possibly go wrong? #itsnotarealmustache",Survivor,Head,Loveable Rogue,Rare,1,images/Customization/Ace/AV_Head002_02.png
AV_Head003,6,,Ace_outfit_006,Bouncer Beard,,Survivor,Head,Man About Town,Uncommon,1,images/Customization/Ace/AV_Head003.png
AV_Head003_01,6,,Ace_outfit_004,Cool Dude Sunnies,"BTW, These sunglasses can make you famous!",Survivor,Head,Man About Town,Uncommon,1,images/Customization/Ace/AV_Head003_01.png
AV_Head003_02,6,,Ace_outfit_005,No Messin' Around,,Survivor,Head,Man About Town,Uncommon,1,images/Customization/Ace/AV_Head003_02.png
AV_Head007,6,,Ace_outfit_007_01,Salt & Pepper Pompadour,"A clean, staple cut with the sides kept short, blending into a beard lineup.",Survivor,Head,Moonrise,Special Event,0,images/Customization/Ace/AV_Head007.png
AV_Head008,6,,Ace_outfit_008_01,Rose-tinted Glasses,"The future's so bright, you gotta wear shades!",Survivor,Head,Spring Ensembles,Very Rare,1,images/Customization/Ace/AV_Head008.png
AV_Head009,6,,AV_outfit_009,Officer’s Crush Cap,A dashing pilot’s hat and eyepatch for a man who flirts with danger and lives to tell the tale.,Survivor,Head,War Is Hell,Very Rare,1,images/Customization/Ace/AV_Head009.png
AV_Head010,6,,AV_outfit_010,Gelled Hairdo,He pulled a few strands of hair into a neat swirl and applied a dollop of gel to secure it in place during the journey.,Survivor,Head,Mean Streets,Very Rare,1,images/Customization/Ace/AV_Head010.png
AV_Head010_01,6,,AV_outfit_010_01,Orange Tint,What better way to celebrate Halloween than to see the world through orange-tinted glasses,Survivor,Head,Halloween 2021,Uncommon,0,images/Customization/Ace/AV_Head010_01.png
AV_Head011,6,,AV_outfit_011,No Sweat,"A relaxed goatee, breezy hair, and a lucky sweatband—as if you even need it, right?",Survivor,Head,Conviction,Rare,1,images/Customization/Ace/AV_Head011.png
AV_Head012,6,,AV_outfit_012,Reindeer Tracks,Behind the antlers was a gambler looking for a score.,Survivor,Head,Holiday Horror,Very Rare,0,images/Customization/Ace/AV_Head012.png
AV_Head012_01,6,,AV_outfit_012_01,Suave Mustache,"These whiskers may not help him move navigate small spaces, but they sure do look fancy.",Survivor,Head,Autumn Chill,Very Rare,0,images/Customization/Ace/AV_Head012_01.png
AV_Head013,6,,AV_outfit_013,Novice Cap,"A worn cap to complete the look, but mostly to hide his face so that no one would recognize him. The less people knew what he was up to, the better.",Survivor,Head,Sea-Washed Creatures,Very Rare,1,images/Customization/Ace/AV_Head013.png
AV_Head014,6,,AV_outfit_014,Midnight Revelry,There was no need to stop the party; Ace was feeling good and looking even better.,Survivor,Head,Greek Legends,Very Rare,1,images/Customization/Ace/AV_Head014.png
AV_Head015,6,,AV_outfit_015,Greased Hair,"Since his hair was a bit long for a classic 50's look, he greased the front and decided it was good enough.",Survivor,Head,Rockabilly,Very Rare,1,images/Customization/Ace/AV_Head015.png
AV_Head016,6,,,Ace’s Mask,A mask they found themselves wearing at the masquerade ball.,Survivor,Head,Twisted Masquerade Collection,Special Event,0,images/Customization/Ace/AV_Head016.png
AV_Head017,6,,AV_outfit_017,Ruthless Professional,It was the garb of someone who was willing to do anything to get the job done.,Survivor,Head,Attack On Titan Collection,Very Rare,1,images/Customization/Ace/AV_Head017.png
AV_Head01_4A,6,,,Crown of The Entity,A crown emanating a festive and ominous aura created by The Entity’s biggest fan.,Survivor,Head,Birthday Crown,Special Event,0,images/Customization/Ace/AV_Head01_4A.png
AV_Head01_5A,6,,,5th Anniversary Crown,A crown crafted for a very special anniversary.,Survivor,Head,5Th Anniversary,Special Event,0,images/Customization/Ace/AV_Head01_5A.png
AV_Head01_CV01,6,,Ace_outfit_010,Lucky Cap (Dark Red),,Survivor,Head,Ace Essentials,Common,1,images/Customization/Ace/AV_Head01_CV01.png
AV_Head01_CV05,6,,Ace_outfit_014,Lucky Cap (Slate Gray),,Survivor,Head,Ace Essentials,Common,1,images/Customization/Ace/AV_Head01_CV05.png
AV_Head01_CV06,6,,Ace_outfit_015,Lucky Cap (Brown / Gray),,Survivor,Head,Ace Essentials,Common,1,images/Customization/Ace/AV_Head01_CV06.png
AV_Head01_CV07,6,,Ace_outfit_016,Lucky Cap (Rust),,Survivor,Head,Ace Essentials,Common,1,images/Customization/Ace/AV_Head01_CV07.png
AV_Head01_CV08,6,,Ace_outfit_017,Lucky Cap (Dark Green),,Survivor,Head,Ace Essentials,Common,1,images/Customization/Ace/AV_Head01_CV08.png
AV_Head01_ThaiBig,6,,,The BIG hat,Exclusive item for the Thailand BIG tournament,Survivor,Head,,Ultra Rare,0,images/Customization/AV_Head01_ThaiBig.png
AV_Head01_TPGS,6,,,The TPGS hat,Exclusive item for the Taipei Game Show.,Survivor,Head,,Ultra Rare,0,images/Customization/AV_Head01_TPGS.png
AV_Head02,6,,,Sharp Ace,Grey-streaked hair and silver tongue.,Survivor,Head,,Common,0,images/Customization/AV_Head02.png
AV_Head02_03,6,,,Hot Handle,"Though undoubtedly the most self-aggrandizing of all moustaches, one has to admire the confidence it takes to pull off the handlebar.",Survivor,Head,Summer Cookout,Uncommon,1,images/Customization/Ace/AV_Head02_03.png
AV_Head06,6,,,White Panama,A handsome hat for a handsome chap,Survivor,Head,,Uncommon,0,images/Customization/HeadCase/AV_Head06.png
AV_Head07,6,,,The Tomstache,A glorious mustache of unthinkable thickness.,Survivor,Head,,Uncommon,0,images/Customization/HeadCase/AV_Head07.png
AV_Legs001,6,,Ace_outfit_003,Smooth Operator Slippers,,Survivor,Legs,Smoking Jacket,Very Rare,1,images/Customization/Ace/AV_Legs001.png
AV_Legs001_01,6,,Ace_outfit_001,Hit The Jackpot Slippers,,Survivor,Legs,Smoking Jacket,Very Rare,1,images/Customization/Ace/AV_Legs001_01.png
AV_Legs001_02,6,,Ace_outfit_002,Sunglow Satin Slippers,With custom embroidered initials. Shiny!,Survivor,Legs,Smoking Jacket,Very Rare,1,images/Customization/Ace/AV_Legs001_02.png
AV_Legs002,6,,Ace_outfit_009,Sure Thing Slacks,,Survivor,Legs,Loveable Rogue,Rare,1,images/Customization/Ace/AV_Legs002.png
