riftID,number,type,reward
Tome01,2,Free,"[{'amount': 1, 'id': 'RW_030', 'type': 'item'}]"
Tome01,4,Free,"[{'amount': 1, 'id': 'RW_025', 'type': 'item'}]"
Tome01,7,Free,"[{'amount': 1, 'id': 'RW_014', 'type': 'item'}]"
Tome01,10,Free,"[{'amount': 1, 'id': 'RW_005', 'type': 'item'}]"
Tome01,14,Free,"[{'amount': 1, 'id': 'NK_Torso002_03', 'type': 'item'}]"
Tome01,18,Free,"[{'amount': 1, 'id': 'RW_021', 'type': 'item'}]"
Tome01,23,Free,"[{'amount': 1, 'id': 'BE_Mask03_01', 'type': 'item'}]"
Tome01,28,Free,"[{'amount': 1, 'id': 'DK_Legs002_03', 'type': 'item'}]"
Tome01,33,Free,"[{'amount': 1, 'id': 'WI_W03_01', 'type': 'item'}]"
Tome01,38,Free,"[{'amount': 1, 'id': 'RW_016', 'type': 'item'}]"
Tome01,43,Free,"[{'amount': 1, 'id': 'RW_010', 'type': 'item'}]"
Tome01,49,Free,"[{'amount': 1, 'id': 'RW_007', 'type': 'item'}]"
Tome01,55,Free,"[{'amount': 1, 'id': 'TR_W009', 'type': 'item'}]"
Tome01,63,Free,"[{'amount': 1, 'id': 'CM_Head011', 'type': 'item'}]"
Tome01,70,Free,"[{'amount': 1, 'id': 'RW_017', 'type': 'item'}]"
Tome01,1,Premium,"[{'amount': 1, 'id': 'RW_009', 'type': 'item'}, {'amount': 1, 'id': 'RW_012', 'type': 'item'}, {'amount': 1, 'id': 'RW_023', 'type': 'item'}]"
Tome01,2,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome01,3,Premium,"[{'amount': 1, 'id': 'RW_015', 'type': 'item'}]"
Tome01,4,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome01,5,Premium,"[{'amount': 1, 'id': 'JP_Torso010', 'type': 'item'}]"
Tome01,6,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome01,7,Premium,"[{'amount': 1, 'id': 'TN_Head009', 'type': 'item'}]"
Tome01,8,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome01,9,Premium,"[{'amount': 1, 'id': 'TW_Body009', 'type': 'item'}]"
Tome01,10,Premium,"[{'amount': 1, 'id': 'RW_031', 'type': 'item'}]"
Tome01,11,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome01,12,Premium,"[{'amount': 1, 'id': 'RW_026', 'type': 'item'}]"
Tome01,13,Premium,"[{'amount': 1, 'id': 'JP_Legs010', 'type': 'item'}]"
Tome01,14,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome01,15,Premium,"[{'amount': 1, 'id': 'TN_Body009', 'type': 'item'}]"
Tome01,16,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome01,17,Premium,"[{'amount': 1, 'id': 'TW_W009', 'type': 'item'}]"
Tome01,18,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome01,19,Premium,"[{'amount': 1, 'id': 'MT_Head004_03', 'type': 'item'}]"
Tome01,20,Premium,"[{'amount': 1, 'id': 'RW_032', 'type': 'item'}]"
Tome01,21,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome01,22,Premium,"[{'amount': 1, 'id': 'JP_Head010', 'type': 'item'}]"
Tome01,23,Premium,"[{'amount': 1, 'id': 'TN_W009', 'type': 'item'}]"
Tome01,24,Premium,"[{'amount': 1, 'id': 'MT_Torso004_03', 'type': 'item'}]"
Tome01,25,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome01,26,Premium,"[{'amount': 1, 'id': 'RW_027', 'type': 'item'}]"
Tome01,27,Premium,"[{'amount': 1, 'id': 'TR_Mask009', 'type': 'item'}]"
Tome01,28,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome01,29,Premium,"[{'amount': 1, 'id': 'RW_033', 'type': 'item'}]"
Tome01,30,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome01,31,Premium,"[{'amount': 1, 'id': 'TW_Head009', 'type': 'item'}]"
Tome01,32,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome01,33,Premium,"[{'amount': 1, 'id': 'CM_Torso011', 'type': 'item'}]"
Tome01,34,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome01,35,Premium,"[{'amount': 1, 'id': 'MT_Legs004_03', 'type': 'item'}]"
Tome01,36,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome01,37,Premium,"[{'amount': 1, 'id': 'RW_028', 'type': 'item'}]"
Tome01,38,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome01,39,Premium,"[{'amount': 1, 'id': 'TR_Body009', 'type': 'item'}]"
Tome01,40,Premium,"[{'amount': 1, 'id': 'RW_019', 'type': 'item'}]"
Tome01,41,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome01,42,Premium,"[{'amount': 1, 'id': 'RW_006', 'type': 'item'}]"
Tome01,43,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome01,44,Premium,"[{'amount': 1, 'id': 'DF_Head001_03', 'type': 'item'}]"
Tome01,45,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome01,46,Premium,"[{'amount': 1, 'id': 'TC_Torso05_03', 'type': 'item'}]"
Tome01,47,Premium,"[{'amount': 1, 'id': 'CM_Legs011', 'type': 'item'}]"
Tome01,48,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome01,49,Premium,"[{'amount': 1, 'id': 'BE_W006_01', 'type': 'item'}]"
Tome01,50,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome01,51,Premium,"[{'amount': 1, 'id': 'RW_020', 'type': 'item'}]"
Tome01,52,Premium,"[{'amount': 1, 'id': 'WI_Body03_01', 'type': 'item'}]"
Tome01,53,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome01,54,Premium,"[{'amount': 1, 'id': 'DF_Legs001_03', 'type': 'item'}]"
Tome01,55,Premium,"[{'amount': 1, 'id': 'RW_034', 'type': 'item'}]"
Tome01,56,Premium,"[{'amount': 1, 'id': 'RW_022', 'type': 'item'}]"
Tome01,57,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome01,58,Premium,"[{'amount': 1, 'id': 'NK_Head003_03', 'type': 'item'}]"
Tome01,59,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome01,60,Premium,"[{'amount': 1, 'id': 'TC_W05_03', 'type': 'item'}]"
Tome01,61,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome01,62,Premium,"[{'amount': 1, 'id': 'DF_Torso001_03', 'type': 'item'}]"
Tome01,63,Premium,"[{'amount': 1, 'id': 'RW_029', 'type': 'item'}]"
Tome01,64,Premium,"[{'amount': 1, 'id': 'DK_Torso001_03', 'type': 'item'}]"
Tome01,65,Premium,"[{'amount': 1, 'id': 'RW_011', 'type': 'item'}]"
Tome01,66,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome01,67,Premium,"[{'amount': 1, 'id': 'RW_008', 'type': 'item'}]"
Tome01,68,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome01,69,Premium,"[{'amount': 1, 'id': 'TC_Legs05_03', 'type': 'item'}]"
Tome01,70,Premium,"[{'amount': 1, 'id': 'RW_024', 'type': 'item'}]"
Tome02,2,Free,"[{'amount': 1, 'id': 'TO_023', 'type': 'item'}]"
Tome02,4,Free,"[{'amount': 1, 'id': 'TO_028', 'type': 'item'}]"
Tome02,7,Free,"[{'amount': 1, 'id': 'GK_Head010', 'type': 'item'}]"
Tome02,9,Free,"[{'amount': 1, 'id': 'TO_005', 'type': 'item'}]"
Tome02,12,Free,"[{'amount': 1, 'id': 'TO_014', 'type': 'item'}]"
Tome02,15,Free,"[{'amount': 1, 'id': 'FM_Legs010', 'type': 'item'}]"
Tome02,19,Free,"[{'amount': 1, 'id': 'TO_017', 'type': 'item'}]"
Tome02,23,Free,"[{'amount': 1, 'id': 'MK_Mask02_02', 'type': 'item'}]"
Tome02,27,Free,"[{'amount': 1, 'id': 'TO_018', 'type': 'item'}]"
Tome02,31,Free,"[{'amount': 1, 'id': 'TO_010', 'type': 'item'}]"
