id,dlcID,name,realm,description,image
Asy_Asylum,Lastbreath,Disturbed Ward,Crotus Prenn Asylum,The last standing structure after the fire that still shows the grandeur of the original architecture. Its two floors and dark basement leave behind nothing of the tale of horrors that took place here. Nothing but memories linger in the abandoned rooms.,images/Maps/iconMap_Asy_Asylum.png
Asy_Chapel,Guam,Father Campbell's Chapel,Crotus Prenn Asylum,"Nestled in a quiet part of the grounds, Father Campbell’s Chapel was a haven from the horrors of the rest of the asylum. Those patients whose illnesses were less severe were given the run of the place and many would come here for refuge, to communicate with God and confess their sins.<br><br>Sadly, Father Campbell’s legacy of good works counted for nothing when the Nurse’s mind snapped, and he drew his final breath in the confessional that had helped so many.<br><br>Now the chapel has been joined by a strange companion: a carny’s caravan, pulled by a shadowy horse. It has long traveled through The Fog, moving from realm to realm, and now temporarily camps here.<br><br>Beware: only a fool would let the bright colors seduce them into visiting.",images/Maps/Guam/iconMap_Asy_Chapel.png
Brl_MaHouse,Boreal,Mother's Dwelling,Red Forest,"Deep in a forest with many names lies a hidden home. The family that once lived there was dependent on the forest… and was broken by it. More than a century old, the dwelling is in surprisingly good condition, though it shows signs of often being patched and mended. The forest holds the house tightly in its grasp, growing over and around it like a second skin. Only once inside is it clear that someone still lives there. It is warm and welcoming and lovingly decorated, with a large living space, a bedroom and a corner dedicated for little ones. Here they are protected from the harsh winter of the northern forest.",images/Maps/DLC5/iconMap_Brl_MaHouse.png
Brl_Temple,Mali,The Temple of Purgation,Red Forest,"The half-forgotten, temple complex dedicated to the cleansing of the High Priestess’s followers. The vertiginous hypostyle hall was believed to hold the weight of the heavens.<br><br>Stolen from the memories of The Plague, the temple was planted in the howling Red Forest, whose winds eroded its smooth edges. It now stands as a beacon of fear, visible from all cardinal points.",images/Maps/Mali/iconMap_Brl_Temple.png
Ecl_Level_01,,Raccoon City Police Station East Wing,Raccoon City,"The smell of blood and festering limbs permeated the concrete walls of the Raccoon City police station. Once an art museum, the building was converted into a precinct at the heart of the city. But when evil took residence, the station showed one last terrifying exhibition: corpses crowding narrow corridors, blood smeared on shattered windows, and festering flesh dripping down the stairs.",images/Maps/Eclipse/iconMap_Ecl_Level01.png
Ecl_Level_WestSide,,Raccoon City Police Station West Wing,Raccoon City,"The smell of blood and festering limbs permeated the concrete walls of the Raccoon City police station. Once an art museum, the building was converted into a precinct at the heart of the city. But when evil took residence, the station showed one last terrifying exhibition: corpses crowding narrow corridors, blood smeared on shattered windows, and festering flesh dripping down the stairs.",images/Maps/Orion/iconMap_Orion_Level01.png
eng_street_01,Sandman,Badham Preschool I,Springwood,"This is not the Badham Preschool where children laughed and learned, made lifelong friendships and had their paintings hung on the walls. This is a dark echo created from the nightmares of those who suffered there. The walls creak under the burden of history. Events that should be long forgotten are recorded forever in the plaster and stone, pervading the building with misery. Only one part of the building is accurately reflected in this darkness. The squalid room where Freddy Krueger lived and worked. The hidden basement area where he committed the heinous acts that appalled a town and condemned him to death. This is a place of the subconscious, of the nightmare brought into hideous reality.",images/Maps/England/iconMap_Eng_ElmStreet.png
eng_street_02,Sandman,Badham Preschool II,Springwood,"This is not the Badham Preschool where children laughed and learned, made lifelong friendships and had their paintings hung on the walls. This is a dark echo created from the nightmares of those who suffered there. The walls creak under the burden of history. Events that should be long forgotten are recorded forever in the plaster and stone, pervading the building with misery. Only one part of the building is accurately reflected in this darkness. The squalid room where Freddy Krueger lived and worked. The hidden basement area where he committed the heinous acts that appalled a town and condemned him to death. This is a place of the subconscious, of the nightmare brought into hideous reality.",images/Maps/England/iconMap_Eng_ElmStreet02.png
eng_street_03,Sandman,Badham Preschool III,Springwood,"This is not the Badham Preschool where children laughed and learned, made lifelong friendships and had their paintings hung on the walls. This is a dark echo created from the nightmares of those who suffered there. The walls creak under the burden of history. Events that should be long forgotten are recorded forever in the plaster and stone, pervading the building with misery. Only one part of the building is accurately reflected in this darkness. The squalid room where Freddy Krueger lived and worked. The hidden basement area where he committed the heinous acts that appalled a town and condemned him to death. This is a place of the subconscious, of the nightmare brought into hideous reality.",images/Maps/England/iconMap_Eng_ElmStreet03.png
eng_street_04,Sandman,Badham Preschool IV,Springwood,"This is not the Badham Preschool where children laughed and learned, made lifelong friendships and had their paintings hung on the walls. This is a dark echo created from the nightmares of those who suffered there. The walls creak under the burden of history. Events that should be long forgotten are recorded forever in the plaster and stone, pervading the building with misery. Only one part of the building is accurately reflected in this darkness. The squalid room where Freddy Krueger lived and worked. The hidden basement area where he committed the heinous acts that appalled a town and condemned him to death. This is a place of the subconscious, of the nightmare brought into hideous reality.",images/Maps/England/iconMap_Eng_ElmStreet04.png
eng_street_05,Sandman,Badham Preschool V,Springwood,"This is not the Badham Preschool where children laughed and learned, made lifelong friendships and had their paintings hung on the walls. This is a dark echo created from the nightmares of those who suffered there. The walls creak under the burden of history. Events that should be long forgotten are recorded forever in the plaster and stone, pervading the building with misery. Only one part of the building is accurately reflected in this darkness. The squalid room where Freddy Krueger lived and worked. The hidden basement area where he committed the heinous acts that appalled a town and condemned him to death. This is a place of the subconscious, of the nightmare brought into hideous reality.",images/Maps/England/iconMap_Eng_ElmStreet05.png
Fin_Hideout,Finland,The Game,Gideon Meat Plant,"This industrial warehouse is the product of a fevered mind, desperately trying to complete their life’s work, their legacy, before their inevitable end. A place of both, creation and destruction, from which devices of death and rebirth were produced. The smell of fear, blood and death has soaked into the brick walls. The sickly glow of fluorescent lighting bathes the room where Jigsaw has planned out his final trial.<br><br>The game begins.",images/Maps/Finland/iconMap_Fin_TheGame.png
Frm_Barn,,Fractured Cowshed,Coldwind Farm,"The old run-down cowshed was one of the first barns the Thompsons built on Coldwind Farm. It was originally intended to house sick animals at a safe distance from the rest of the livestock, but no animal who entered it ever survived. An investigation revealed the building was infested with toxic mold. The Thompsons figured it must be a construction fault or something to do with the dampness of the wood. A new barn was built, and the old cowshed was left to rot in the shadows.",images/Maps/iconMap_Frm_Barn.png
Frm_CornField,,Rotten Fields,Coldwind Farm,"Even before the fall of Coldwind Farm, the cornfields were surrounded by tales of ominous myths. Everything from mutilated animals to red corn stalks. Now it’s abandoned, but still, someone seems to care for the corn in some way as the stalks still stand tall.",images/Maps/iconMap_Frm_Cornfield.png
Frm_Farmhouse,,The Thompson House,Coldwind Farm,"The centerpiece of Coldwind Farm, the farmhouse stood proudly over the fields of golden corn for decades. After the horrific events of 1972, the building fell into disrepair and eventual ruin. The farmhouse is now nothing more than a forgotten, former home where holidays were once celebrated.",images/Maps/iconMap_Frm_Farmhouse.png
Frm_Silo,,Torment Creek,Coldwind Farm,The Silo is one of the oldest remaining buildings that made up Coldwind Farm. The great storm of 2003 brought the ancient structure crashing down. It was weeks later that searchers discovered twelve bodies were buried in the ruins. Their crushed corpses were buried deep in the slurry that oozed out from the base and made identification almost impossible.,images/Maps/iconMap_Frm_Silo.png
Frm_Slaughterhouse,,Rancid Abattoir,Coldwind Farm,"Once part of the farm, the slaughterhouse was still in operation for many years after the breakup of the farmland. Rotting stench and stained floors provide proof of all the deaths that have taken place here… animal or otherwise.",images/Maps/iconMap_Frm_Slaughterhouse.png
hos_treatment,Sparkofmadness,Treatment Theatre,Léry's Memorial Institute,"A mansion from the late 1800's - donated and transformed into a medical facility and later into a CIA black site specializing in cutting-edge interrogation techniques. The institute closing is shrouded in controversy and mystery. At the heart of the facility, the Doctor’s tools have been arranged in a twisted ritual circle, ready for research, as he refines his methods on an endless stream of terrified patients.",images/Maps/iconMap_Hos_Treatment.png
Hti_Manor,Haiti,Family Residence,Yamaoka Estate,"While the Yamaoka estate displayed a glorious past, but the family residence was falling apart. The house needed numerous renovations to remain habitable.<br><br>The last generation of the Yamaoka family were facing troubled times. Their finances were dire and the situation worsened when the daughter started university, just a few months before the mother became ill. Shouldering both university fees and hospital bills, the father worked past exhaustion.<br><br>To keep a roof over their heads, he profaned their legacy. The walls of their ancestral home were sealed with moldy materials for a cheap fix.<br><br>As the house was stripped of its integrity, an old anger was awakened.",images/Maps/Haiti/iconMap_Hti_Manor.png
Hti_Shrine,Sweden,Sanctum of Wrath,Yamaoka Estate,"Once opulent and well-tended by priests, the shrine was abandoned for reasons unknown. Season after season, the harsh and unforgiving weather corroded its grandeur. Paths that welcomed weary travelers, were now thick with vegetation growing damp and unrestrained. The sculptures were a haven for moss and lichen, concealing a scratched and brittle stone.<br><br>Kazan shuddered with rage as he stepped into the area. Unable to restrain himself, he unleashed his might on a statue atop the shrine, clubbing its arms and head to pieces. Even after he left, a rot seemed to pervade the air. The chimes of bells played softly on the wind, as everything around them crumbled. Torn from Kazan's memories, the shrine now stood on the estate of his childhood home—a trick by The Entity that infuriated him even more.",images/Maps/Haiti/iconMap_Hti_Shrine.png
Ind_CoalTower,,Coal Tower,The MacMillan Estate,"Once used for storing the coal that fueled the Foundry, it now lies abandoned. The roof is split wide open, suggesting some titanic explosion, but the angles don’t seem to make sense. So to fathom its destiny is not done easily - even if one would want to.",images/Maps/iconMap_Ind_CoalTower.png
Ind_Forest,,Shelter Woods,The MacMillan Estate,"The woods surrounding the estate might be the only witness to what really happened here. Its trees have a certain deformed character, as if what they saw made them want to run away. There are very few visitors to the woods - even animals seem to avoid it if possible.",images/Maps/iconMap_Ind_Forest.png
Ind_Foundry,,Ironworks of Misery,The MacMillan Estate,"The beating heart of the Mine, the Foundry was where the iron ore was directly smelted into vast ingots. The huge vats still bear evidence of the bodies that were incinerated within them - preserved in the metal residue.",images/Maps/iconMap_Ind_Foundry.png
Ind_Mine,,Suffocation Pit,The MacMillan Estate,You can still see the tiny entrance that miners used to haul the ore to the surface. Now it is nothing more than a pile of rubble. No one bothered to clear it as they feared whatever might be found inside. Instead it fell into oblivion.,images/Maps/iconMap_Ind_Mine.png
ind_storehouse,,Groaning Storehouse,The MacMillan Estate,"On the eastern edge of the estate, near the woods, lie the remains of the MacMillan warehouse. Dwarfing the surrounding buildings, the massive storehouse can often be heard creaking and groaning as if it were crying out with the anguish of the incinerated laborers.",images/Maps/iconMap_Ind_Storehouse.png
Ion_Level_01,Ion,Eyrie of Crows,Forsaken Boneyard,"In the dust-choked expanse of the Chilean desert lies a graveyard abandoned by the living, battered by the passage of time. Only through violence was it once more given prominence, hosting the gruesome murder of the artist Carmina Mora and her friends.<br><br>Within The Entity's realm, the humble lot has been twisted into a grand celebration of the bloody events that took place. A towering crypt offers a roost for the crows to observe the trial, beady eyes gazing with fascination, never forgetting the day they fed greedily on the flesh of screaming men and women.",images/Maps/Ion/iconMap_Ion_Level01.png
Jnk_Garage,,Wretched Shop,Autohaven Wreckers,"This old garage was once not just a place of death and execution. Automobiles were actually repaired here amongst oil mixed with blood. But as investigators found out about the atrocities that took place, it became forgotten.",images/Maps/iconMap_Jnk_Garage.png
jnk_gasstation,,Gas Heaven,Autohaven Wreckers,"For decades, Azarov’s Gas Heaven offered the last chance for travellers to rest and fuel up before the long, hard haul through the backcountry. Wiser travellers learned to decline that offer. The phones never worked and people had a peculiar habit of going missing. When the highway came through, bypassing Gas Heaven entirely, business dried up and the gas station was abandoned. No one quite knows how many bodies are stashed out there, or what else is hidden in the ruins of the old rest stop.",images/Maps/iconMap_Jnk_GasStation.png
Jnk_Lodge,,Blood Lodge,Autohaven Wreckers,A run-down log cabin at the edge of the scrap yard and the home of its owner. Weird carvings and etchings in the wall perhaps say more about the owner’s state of mind and allude to his disappearance. Reports suggested that prisoners were held in its dark basement before they were taken to the crusher.,images/Maps/iconMap_Jnk_Lodge.png
Jnk_Office,,Azarov’s Resting Place,Autohaven Wreckers,"The Office is where money changed owners and hands were shook. The heavy duty safe in the floor might have been a dead giveaway to the shady business that took place. Wads of cash were hidden all over the place. Stating that money wasn’t an issue, maybe people got executed for enjoyment, rather than wealth.",images/Maps/iconMap_Jnk_Office.png
Jnk_Scrapyard,,Wreckers' Yard,Autohaven Wreckers,"The Junkyard is packed with sharp objects. Walking around the area, aware of the bloodbath that took place here, changes the landscape. Blood-covered metal and bits of flesh abound. One does not willingly walk amongst all this evidence of death.",images/Maps/iconMap_Jnk_Scrapyard.png
Kny_Cottage,Mali,Mount Ormond Resort,Ormond,"Ormond was once a small, remote ski town with idyllic slopes, but its resort turned obsolete when a deluxe ski village was built on Mount Richards less than two hours away. Mount Richards offered fresh slopes with luxurious stores and hotels, which crushed Mount Ormond’s isolated, decrepit facilities.<br><br>The fate of the mountain worsened when a mining project took interest in the coal present at its summit. The mountaintop was lined by explosives to extract coal seams from under it. The project caused a public outrage and was stopped midway.<br><br>Mount Ormond is now a soulful, deforested graveyard where gangs and teenagers go looking for trouble. Some people say that the mountain hides a darkness, a bottomless hole from where no one can return.",images/Maps/Kenya/iconMap_Kny_Cottage.png
Mtr_Level,Meteor,Garden of Joy,Withered Isle,"On a privately-owned island in the Atlantic, the Garden was home to a bustling commune of optimists set on building a better world. Funded by a band of anonymous philanthropists and managed by a charismatic leader, they attempted to rid themselves of dark emotions, for fear of summoning the ancient god of shadows.<br><br>Dark thoughts corrupted this idyllic community. A mansion sits twisted by darkness and further perverted by the Entity’s influence, contorting and reconfiguring itself in maddening, serpentine formations. At once familiar and foreign, to look upon it is to know fear.",images/Maps/Meteor/iconMap_Meteor_Level01.png
Qat_Lab,Qatar,The Underground Complex,Hawkins National Laboratory,"Located below the Hawkins National Laboratory, this underground complex released dozens of interdimensional creatures in November 1984, before the rift was sealed.<br><br>The site kept some vestiges of its past as&nbsp;the&nbsp;mental&nbsp;health&nbsp;institute, including a moldy isolation tank used by patients suffering from acute anxiety that was later modernized for mind control experimentation on promising test subjects.<br><br>Now the walls of the abandoned facility are sprayed with bullets and blood, evidence of a battle against interdimensional creatures.",images/Maps/Qatar/iconMap_Qat_Lab.png
Qtm_Level_01,Quantum,The Shattered Square,The Decimated Borgo,"Daro, a village that once bustled with life and industry, suddenly razed to the ground. The gorgeous, cobbled roads of this medieval Italian settlement ran red with the blood of her citizens, all due to the “righteousness”&nbsp;of the Guardia Compagnia.<br><br>The Entity’s Realm has preserved and distorted this ancient village, its rubble forever smoldering. A large gathering hall stands in its center, still upright despite its scars. Several shacks litter the landscape in varying degrees of disrepair. The pain suffered here still emanates from the crackles of its embers.",images/Maps/Quantum/iconMap_Qtm_Level01.png
sub_street,Halloween,Lampkin Lane,Haddonfield,"A simple street with houses that witnessed the horrors that took place. A jungle gym where children once learned to climb. Sidewalks where fathers taught their daughters to ride a bike. All gone. Instead it sits in the palm of The Entity, forever held in darkness.",images/Maps/iconMap_Sub_Street.png
