id,survivorID,killerID,name,description,role,collection,rarity,purchasable,discount,image
Ace_outfit_001,6,,The High Roller,"Whether you are having a party in a casino, a nightclub, or a neighborhood grotto, you absolutely can not go past the classic smoking jacket.",Survivor,Smoking Jacket,Very Rare,1,"[{""currency"":""Cells"",""discount"":40.00001,""start"":1676390400,""end"":1676995200}]",images/Customization/Ace_outfit_001.png
Ace_outfit_002,6,,The Golden Nugget,"Whether you are having a party in a casino, a nightclub, or a neighborhood grotto, you absolutely can not go past the classic smoking jacket.",Survivor,Smoking Jacket,Very Rare,1,[],images/Customization/Ace_outfit_002.png
Ace_outfit_003,6,,The Tomcat,#sexualdemon,Survivor,Smoking Jacket,Very Rare,1,[],images/Customization/Ace_outfit_003.png
Ace_outfit_004,6,,Hey Ladies,"Just a suave, sophisticated&nbsp;lad. Hang with the right people in the right places.",Survivor,Man About Town,Uncommon,1,[],images/Customization/Ace_outfit_004.png
Ace_outfit_005,6,,Too Sexy,"'Cause I'm a model, you know what I mean",Survivor,Man About Town,Uncommon,1,[],images/Customization/Ace_outfit_005.png
Ace_outfit_006,6,,"Mover, Shaker","Just a suave, sophisticated&nbsp;lad. Hang with the right people in the right places.",Survivor,Man About Town,Uncommon,1,[],images/Customization/Ace_outfit_006.png
Ace_outfit_007,6,,Shady Scoundrel,"Gain the trust of any unsuspecting&nbsp;stooge. Bright pastels, big smile, quick talking, quicker fingers. It's showtime!",Survivor,Loveable Rogue,Rare,1,[],images/Customization/Ace_outfit_007.png
Ace_outfit_007_01,6,,Seasoned Gambler,Ace ventures to a luxurious casino in Macau and raises the stakes for the New Year.,Survivor,Moonrise,Special Event,0,[],images/Customization/Ace_outfit_007_01.png
Ace_outfit_008,6,,Classy Charlatan,"Gain the trust of any unsuspecting&nbsp;stooge. Bright pastels, big smile, quick talking, quicker fingers. It's showtime!",Survivor,Loveable Rogue,Rare,1,[],images/Customization/Ace_outfit_008.png
Ace_outfit_008_01,6,,Rush of Spring,"The flowers are blooming, the sun is out and Ace's luck is turning for the better: he has one of the golden tickets.",Survivor,Spring Ensembles,Very Rare,1,[],images/Customization/Ace_outfit_008_01.png
Ace_outfit_009,6,,Pink Rascal,"Gain the trust of any unsuspecting&nbsp;stooge. Bright pastels, big smile, quick talking, quicker fingers. It's showtime!",Survivor,Loveable Rogue,Rare,1,[],images/Customization/Ace_outfit_009.png
Ace_outfit_010,6,,Aces and Eights,"Some call it a losing streak… but it's more like a winning streak that just hasn't started yet. While wearing the luckiest gear in the wardrobe, what could possibly go wrong",Survivor,Ace Essentials,Common,1,[],images/Customization/Ace_outfit_010.png
Ace_outfit_014,6,,Aces and Eights,"Some call it a losing streak… but it's more like a winning streak that just hasn't started yet. While wearing the luckiest gear in the wardrobe, what could possibly go wrong",Survivor,Ace Essentials,Common,1,[],images/Customization/Ace_outfit_014.png
Ace_outfit_015,6,,Aces and Eights,"Some call it a losing streak… but it's more like a winning streak that just hasn't started yet. While wearing the luckiest gear in the wardrobe, what could possibly go wrong",Survivor,Ace Essentials,Common,1,[],images/Customization/Ace_outfit_015.png
Ace_outfit_016,6,,Aces and Eights,"Some call it a losing streak… but it's more like a winning streak that just hasn't started yet. While wearing the luckiest gear in the wardrobe, what could possibly go wrong",Survivor,Ace Essentials,Common,1,[],images/Customization/Ace_outfit_016.png
Ace_outfit_017,6,,Aces and Eights,"Some call it a losing streak… but it's more like a winning streak that just hasn't started yet. While wearing the luckiest gear in the wardrobe, what could possibly go wrong",Survivor,Ace Essentials,Common,1,[],images/Customization/Ace_outfit_017.png
