id,survivorID,killerID,name,role,description,tunables,teachable,image
Ace_In_The_Hole,6,,Ace in the Hole,Survivor,"Lady Luck always seems to be throwing something good your way.<br><br>When retrieving an item from a chest, there is a {0}% chance that a Very Rare (or lower) add-on will be attached to it.<br><br>{1}% chance of finding an add-on of Uncommon rarity (or lower).<br><br>When escaping, keep any add-ons your item has.","[['100'], ['10', '25', '50']]",40,images/Perks/DLC3/iconPerks_aceInTheHole.png
Adrenaline,1,,Adrenaline,Survivor,You are fuelled by unexpected energy when on the verge of escape. Instantly heal one <b>health state</b> and sprint at {0}% of your normal running speed for {1} seconds when the exit gates are powered. Adrenaline is on hold if you are disabled at the moment it should take effect and will activate when freed.<br><br><i>Adrenaline</i> will <b>wake you up</b> if you are asleep when it triggers.<br><br><i>Adrenaline</i> ignores the <b>Exhausted</b> status effect.<br><br>Causes the <b>Exhausted</b> status effect for {2} seconds.<br><br>Exhausted prevents Survivors from activating exhausting perks.,"[['150'], ['5'], ['60', '50', '40']]",40,images/Perks/iconPerks_adrenaline.png
Aftercare,14,,Aftercare,Survivor,"Unlocks potential in one's aura reading ability.<br><br>You see the aura of every Survivor that:<br><br><li>You rescue from a hook, or rescues you from a hook;</li><li>You complete a healing action on, or completes a healing action on you.</li><br><br>They also see your aura.<br><br>This occurs for up to {0} Survivors. All effects of <i>Aftercare</i> are reset when you are hooked by The Killer.","[['1', '2', '3'], ['1', '2', '3']]",35,images/Perks/Kenya/iconPerks_aftercare.png
Agitation,,268435456,Agitation,Killer,"You get excited in anticipation of hooking your prey.<br><br>Increases your movement speed while transporting bodies by {0}%. While transporting a body, your Terror Radius is increased by {1} meters.","[['6', '12', '18'], ['12']]",40,images/Perks/iconPerks_agitation.png
Alert,8,,Alert,Survivor,"Your acute senses are on high alert.<br><br>When the Killer performs a break action, the Killer is revealed to you for {0} seconds.","[['3', '4', '5']]",40,images/Perks/DLC4/iconPerks_alert.png
AnyMeansNecessary,19,,Any Means Necessary,Survivor,"You stand up for yourself, using whatever’s on hand to gain an advantage.<br><br>You see the auras of dropped Pallets.<li>Press and hold the <i>Active Ability Button 1</i> for {0} seconds while standing beside a dropped pallet to reset it to its upright position.</li>","[['6', '5', '4']]",35,images/Perks/Sweden/iconPerks_anyMeansNecessary.png
Autodidact,13,,Autodidact,Survivor,"You start the trial with a -{1}% progress penalty for Skill Checks to heal Survivors.<br><br>For every successful Skill Check while healing a Survivor, you receive a token up to a maximum of {0} tokens.<br><br>Each token grants you a +{2}% progress bonus.<br><br>Great Skill Checks cannot be performed while using <i>Autodidact</i>.<li><i>Autodidact</i> is not active when using a Med Kit to heal.</li>","[['3', '4', '5'], ['25'], ['15']]",40,images/Perks/Haiti/iconPerks_autodidact.png
Babysitter,18,,Guardian,Survivor,"While you have a reputation for being self-centered, you risk it all to help those in need.<br><br>When you unhook a Survivor, they won’t leave scratch marks or pools of blood, and they gain a {0}% <b>Haste</b> status effect for {1} seconds.<br><br>You see the Killer's aura for {2} seconds.<br><br>Haste increases Survivor movement speed.","[['7'], ['4', '6', '8'], ['8']]",,images/Perks/Qatar/iconPerks_babySitter.png
Balanced_Landing,4,,Balanced Landing,Survivor,"Your agility is incomparable.<br><br>After falling from a height, cat-like reflexes reduce your stagger duration from falling by {0}% and reduce the volume of grunts from falling by 100%. You start sprinting at {1}% your normal running speed for a maximum of {2} seconds.<br><br>Causes the <b>Exhausted</b> status effect for {3} seconds.<br><br><i>Balanced Landing</i> cannot be used while <b>Exhausted</b>.<br><br>Exhausted prevents Survivors from activating exhausting perks.","[['75'], ['150'], ['3'], ['60', '50', '40']]",30,images/Perks/iconPerks_balancedLanding.png
Bamboozle,,268435467,Bamboozle,Killer,Your vault speed is {0}% faster.<br><br>Performing a vault action calls upon The Entity to block that vault location for {1} seconds.<br><br>Only 1 vault location may be blocked in this way at any time. The vault location is blocked only for Survivors.<br><br>Does not affect pallets.,"[['5', '10', '15'], ['8', '12', '16']]",30,images/Perks/Guam/iconPerks_bamboozle.png
BBQAndChilli,,268435464,Barbecue & Chili,Killer,"A deep bond with The Entity unlocks potential in one's aura reading ability.<li>After hooking a Survivor, all other Survivors' auras are revealed to you for 4 seconds when they are further than {0} meters from the hook.</li>","[['60', '50', '40']]",35,images/Perks/Cannibal/iconPerks_BBQAndChili.png
BeastOfPrey,,268435463,Beast of Prey,Killer,"Your lust for a kill is so intense that your connection with The Entity is momentarily lost, making you totally unpredictable.<br><br>Grants the <b>Undetectable</b> status effect after gaining Bloodlust Tier I. The status effect is removed once you lose Bloodlust.<br><br><li>Gain {0}% more Bloodpoints for actions in the Hunter Category.</li><br><br>Undetectable hides the Killer's aura, Terror Radius, and Red Stain.","[['30', '40', '50']]",30,images/Perks/DLC5/iconPerks_BeastOfPrey.png
BetterTogether,17,,Situational Awareness,Survivor,"You seek justice and uncover the truth no matter what obstacle stands in your way.<br><br>The aura of the generator you are currently repairing is revealed to all other Survivors located within {0} meters.<br><br>If The Killer downs a Survivor while you are repairing a generator, you see the aura of all other Survivors for {1} seconds.","[['32'], ['8', '9', '10']]",,images/Perks/Qatar/iconPerks_betterTogether.png
Bitter_Murmur,,,Bitter Murmur,Killer,"Unlocks potential in one's aura reading ability. Each time a generator is fully repaired, Survivors within {0} meters of the completed generator will be revealed for {1} seconds.<br><br>When the last generator is fully repaired, all the Survivors' auras are revealed for {2} seconds.","[['16'], ['5'], ['5', '7', '10']]",,images/Perks/iconPerks_bitterMurmur.png
BloodEcho,,268435473,Blood Echo,Killer,"The agony of one is inflicted on others.<br><br>When hooking a Survivor, all other injured Survivors suffer from the Hemorrhage&nbsp;and Exhaustion&nbsp;status effect for {0}&nbsp;seconds.<br><br><i>Blood Echo</i> has a cooldown of {1} seconds.<br><br>Exhausted prevents Survivors from activating exhausting perks.<br><br>Hemorrhage regresses healing progress when not healing, and increases blood trails left by injured Survivors.","[['45'], ['80', '70', '60']]",35,images/Perks/Sweden/iconPerks_bloodEcho.png
BloodHound,,268435457,Bloodhound,Killer,"Like a hunting scent hound, you smell traces of blood at a great distance.<br><br>Fresh blood marks are considerably more discernible than normal and can be tracked for {0} seconds longer than normal.","[['2', '3', '4']]",35,images/Perks/iconPerks_bloodhound.png
BloodPact,21,,Blood Pact,Survivor,"It’s as if a latent part of yourself has awakened. You feel like you can reach out beyond yourself for assistance.<br><br>When you or the Obsession are injured, you both see each other's auras.<br><br>After completing a healing action on the Obsession, or having the Obsession complete a healing action on you, you both gain a {1}% <b>Haste</b> status effect until no longer within 16 meters of each other.<br><br>Reduces the odds of being the Obsession.<br><br>If you are the Obsession, this perk deactivates.<br><br><i>The Killer can only be obsessed with one Survivor at a time.</i><br><br>Haste increases Survivor movement speed.","[['6', '8', '10'], ['5', '6', '7']]",35,images/Perks/Wales/iconPerks_bloodPact.png
BloodWarden,,268435465,Blood Warden,Killer,"As soon as an exit gate is opened, Blood Warden is activated. The auras of any Survivors located within Exit areas are revealed to you.<br><br>Once per match, hooking a Survivor while Blood Warden is active calls upon The Entity to block both Exits for all Survivors for&nbsp;{0} seconds.","[['30', '40', '60']]",40,images/Perks/England/iconPerks_bloodWarden.png
BoilOver,10,,Boil Over,Survivor,You are a battler and do everything to escape a foe's grasp. Your struggling effects on The Killer are increased by {0}%.<br><br>You obscure The Killer's ability to see hook auras within {1} meters.<br><br>You gain {2} % of current wiggling progress when the Killer drops from great heights.,"[['60', '70', '80'], ['16'], ['33']]",40,images/Perks/Kate/iconPerks_boilOver.png
Bond,0,,Bond,Survivor,Unlocks potential in one's aura reading ability. Allies' auras are revealed to you when they are within a {0} meter range.,"[['20', '28', '36']]",30,images/Perks/iconPerks_bond.png
BoonDestroyer,,,Shattered Hope,Killer,"To capture your prey, you must first extinguish their hope.<br><br>Whenever you snuff a Boon Totem, the totem is destroyed instead.<br><br>When you destroy a Boon Totem this way, the auras of all Survivors inside the Boon Totem range are revealed to you for {0} seconds.","[['6', '7', '8']]",,images/Perks/Meteor/iconPerks_BoonDestroyer.png
BorrowedTime,7,,Borrowed Time,Survivor,"You are fueled by unexpected energy when saving an ally from a hook.<br><br>Survivors you unhook:<br><br><li>Keep their <b>Endurance</b> status effect for an extra {0} seconds.</li><li>Keep their movement speed bonus for an extra 10 seconds.</li><br><br>Endurance prevents a Survivor from being downed, inflicting Deep Wound instead.<br><br>Deep Wound will put a Survivor in the dying state unless it is mended before the timer runs out.","[['6', '8', '10']]",35,images/Perks/L4D/iconPerks_borrowedTime.png
Botany_Knowledge,2,,Botany Knowledge,Survivor,You transform plants found around the campfire into tinctures that slow down bleeding.<br><br><li><b>Healing speed</b> is increased by {0}%.</li><li><b>Healing item efficiency</b> is reduced by {1}%.</li>,"[['30', '40', '50'], ['20']]",35,images/Perks/iconPerks_botanyKnowledge.png
Breakdown,14,,Breakdown,Survivor,"Any time you are removed from a hook (escaped or saved), the hook breaks and the Killer's aura is shown to you for {0} seconds. A hook broken by this perk takes 180 seconds to respawn.","[['4', '5', '6']]",30,images/Perks/Kenya/iconPerks_breakdown.png
Breakout,19,,Breakout,Survivor,"You kick into high gear when someone’s in trouble, inspiring them to overcome any obstacle.<br><br>When within {0} meters of a carried Survivor, you gain the <b>Haste</b> status effect, moving at {1}% increased speed. The carried Survivor’s wiggle speed is increased by {2}%.<br><br>Haste increases Survivor movement speed.","[['6'], ['5', '6', '7'], ['20']]",40,images/Perks/Sweden/iconPerks_breakout.png
Brutal_Strength,,268435456,Brutal Strength,Killer,"Your great strength allows you to shred through your prey's defenses.<br><br>Destroy dropped <b>pallets, breakable walls, and generators</b> {0}% faster.","[['10', '15', '20']]",35,images/Perks/iconPerks_brutalStrength.png
BuckleUp,16,,Buckle Up,Survivor,"Unlocks potential in one's aura reading ability. When you heal a Survivor from the dying state to injured, both you and the healed Survivor see the Killer's aura for a duration of {0} seconds.<br><br>The healed Survivor also gains a {1}% Haste status effect for the same duration.","[['6', '8', '10'], ['10']]",35,images/Perks/Ash/iconPerks_buckleUp.png
