id,powerID,name,description,rarity,image
Addon_Beartrap_001,Item_Slasher_Beartrap,Honing Stone,"When used with the Bear Trap, the honing stone sharpens its blades. The razor sharp blades inflicts deep wounds aimed at bleeding the victim as fast as possible.<br><br>The trapped victim is left dying instead of injured if they free themselves.",Very Rare,images/ItemAddons/iconAddon_honingStone.png
Addon_Beartrap_002,Item_Slasher_Beartrap,Serrated Jaws,"These replacement Bear Trap jaws have saw like blades which cause awful open wounds when they snap.<br><br><b>Bear Traps</b> inflict <b>Hemorrhage</b> on trapped Survivors until they are healed.<br><br>Hemorrhage&nbsp;regresses healing progress when not healing, and increases blood trails left by injured survivors.",Uncommon,images/ItemAddons/iconAddon_serratedJaws.png
Addon_Beartrap_003,Item_Slasher_Beartrap,Trapper Bag,A cured leather waist bag. Large and sturdy to transport hunting equipment.<br><br>Start with <b>1 extra Bear Trap</b>.Allows the transportation of <b>1 extra Bear Trap</b>.,Rare,images/ItemAddons/iconAddon_trapperBag.png
Addon_Beartrap_004,Item_Slasher_Beartrap,Wax Brick,A block of wax used to lower friction and facilitate movement in mechanical parts.<br><br><b>Increases</b> the time required to rescue a Survivor or attempt escape from a <b>Bear Trap</b> by <b>33%</b>.,Uncommon,images/ItemAddons/iconAddon_waxBrick.png
Addon_Beartrap_005,Item_Slasher_Beartrap,Lengthened Jaws,"Jaws with long teeth that dig further into the flesh than a conventional Bear Trap.<br><br>When Survivors escape <b>Bear Traps</b>, they are inflicted with <b>Deep Wound</b>.<br><br>Deep Wound will put a Survivor in the dying state unless it is mended before the timer runs out.",Uncommon,images/ItemAddons/iconAddon_lengthenedJaws.png
Addon_Beartrap_006,Item_Slasher_Beartrap,Tar Bottle,"A black, matte and sticky substance similar to tar. When applied to Bear Traps, makes them far less noticeable.<br><br><b>Darkens</b> the appearance of <b>Bear Traps.</b>",Rare,images/ItemAddons/iconAddon_tarBottle.png
Addon_Beartrap_007,Item_Slasher_Beartrap,Makeshift Wrap,"A scratched and worn brace made of thick, cured animal skin.<br><br><b>The Trapper</b> cannot be caught in his <b>Bear Traps</b>.<b>Bear Traps</b> will be disarmed if <b>The Trapper</b> steps on them.",Common,images/ItemAddons/iconAddon_makeshiftWrap.png
Addon_Beartrap_008,Item_Slasher_Beartrap,4-Coil Spring Kit,A replacement kit for Bear Traps which changes the usual dual spring system with 4 coil springs adding a great amount of strength to the traps' hold.<br><br><b>Increases</b> time required for Survivors to disarm <b>Bear Traps</b> by <b>33%</b>.,Uncommon,images/ItemAddons/iconAddon_coilsKit4.png
Addon_Beartrap_009,Item_Slasher_Beartrap,Trapper Sack,A crude leather sack suitable for foraging.<br><br>All <b>Bear Traps</b> are carried at the beginning of the Trial instead of spawning on the map.<b>Bear Traps</b> cannot be picked up.,Very Rare,images/ItemAddons/iconAddon_trapperSack.png
Addon_Beartrap_010,Item_Slasher_Beartrap,Trapper Gloves,Protective padded leather gloves.<br><br><b>Increases Bear Trap</b> setting speed by <b>30%</b>.,Common,images/ItemAddons/iconAddon_trapperGloves.png
