id,dlcID,name,gender,bio,lore,image
0,,Dwight Fairfield,Male,"A nervous leader, able to locate his allies and increase their effectiveness.<br><br>His personal perks, <b>Bond</b>, <b>Prove Thyself</b> and <b>Leader</b>, allow him to get in proximity of other Survivors and provide bonuses to their actions as well as his own.","Dwight was geeky and scrawny through high school. He always wanted to be one of the cool kids, but somehow never had the charisma. He tried out for the football team but was cut, the basketball team didn’t even take a look, and his grades were distinctly below average.<br><br>One weekend, on a team building exercise from his dead-end job, Dwight’s boss led them deep into the woods before breaking out his family recipe moonshine. Dwight remembered taking the first sip before waking up late the next morning all alone.<br><br>During the night, the others had abandoned him. Once again, the laughing stock of the community Dwight tried to hike his way out of the woods. That was the last anyone ever heard of Dwight Fairfield.",images/CharPortraits/DF_charSelect_portrait.png
1,,Meg Thomas,Female,"An energetic athlete, able to outrun most Killers.<br><br>Her personal perks, <b>Quick & Quiet</b>, <b>Sprint Burst</b> and <b>Adrenaline</b>, give her advantage to escape chases and put distance between herself and the Killer.","Perhaps it was her mother that had instilled the fierce streak in her or maybe it was her father that left them when she was a baby.<br><br>Meg excelled at schoolwork but she was off the rails. Fortunately, an athletics coach encouraged her to channel her misspent energy on the track.<br><br>She motivated herself into becoming a high school star and earned a scholarship to college. When her mother fell ill, Meg decided to give up her chance at college to care for the woman who had raised her.<br><br>One summer’s day, on a long run deep in the woods, Meg vanished. Search as they did, they never found her body.",images/CharPortraits/MT_charSelect_portrait.png
2,,Claudette Morel,Female,"A studious botanist, able to boost her team's survivability as well as her own.<br><br>Her personal perks, <b>Empathy</b>, <b>Botany Knowledge</b> and <b>Self Care</b>, allow her to spot injured Survivors and heal her team and herself more effectively.","From the day that her parents gave Claudette her first science kit, she loved experiments. Her single minded pursuit lead to an early scholarship at a great college. It was a huge decision to leave Montréal, but the chance was too good to pass up.<br><br>Her introverted nature meant that chat rooms and forums were now her best source of social interaction. Her new favorite activity was to answer botany questions for others under the moniker of Science Girl.<br><br>One evening, during a long bus ride back from the city, Claudette took a stroll that would change her life. It only took a minute for her to get completely disoriented in the thick woods. She never found her way back. Her forum only started to wonder where she was a week after she stopped posting.",images/CharPortraits/CM_charSelect_portrait.png
3,,Jake Park,Male,"A solitary survivalist, able to hold his own in most situations.<br><br>His personal perks, <b>Iron Will</b>, <b>Calm Spirit</b> and <b>Saboteur</b>, allow him to more effectively move about the environment and survive while injured.","Growing up the son of a wealthy CEO was always going to put pressure on Jake Park. When his brother graduated with honors from Yale the pressure on Jake intensified. Jake just wasn't the academic type, but his father never really understood his refusal to embrace the expensive education he lavished upon him. Eventually, Jake rebelled by dropping out of school entirely.<br><br>Now, Jake lives off the grid on the edge of the woods. It’s been years since he spoke to his father but his mother checks in once in a while. It was she who eventually called the police.<br><br>The cops said he got lost in the woods and a search party looked for days, but gave up as bad weather rolled in. Despite passionate pleas from his mother, they never resumed the search and Jake went down in history as another casualty of the woods.",images/CharPortraits/JP_charSelect_portrait.png
4,,Nea Karlsson,Female,"An urban artist, able to easily escape and hide.<br><br>Her personal perks, <b>Balanced Landing</b>, <b>Urban Evasion</b> and <b>Streetwise</b>, make her well suited to completing objectives and rapid evasion.","Nea grew up in the small town of Hjo in Sweden. She had a happy childhood even though her mom and dad worked hard. As the opportunity to move to the US became a reality, she started acting out. Nea was forced to leave her friends and life behind.<br><br>Nea shied away from what her parents considered “normal”. Instead she took refuge in skate parks, and her tag “Mashtyx” was seen more or less all over her new hometown.<br><br>Nea made a sport out of tagging government buildings, avoiding the fuzz and any other danger with her nimble cat-like abilities. Finally Nea’s parents became used to her disappearing for a few days on end. She may have gone too far when her friends dared her to tag the old Crotus Prenn Asylum one moonless night, as she was never seen again.",images/CharPortraits/NK_charSelect_portrait.png
5,Halloween,Laurie Strode,Female,"A determined Survivor, prepared to weather any challenge.<br><br>Her personal perks, <b>Sole Survivor</b>, <b>Object of Obsession</b> and <b>Decisive Strike</b>, grant her powerful survival abilities at the cost of leaving her exposed.","You never know what really matters in life until you’ve realized it might end soon. Laurie is one of those who just wants a quiet life in the suburbs, hanging out with friends, family and maybe go on a date or two. Laurie is a typical teenager. You could pass her on the street and not think twice. She does her homework and is liked by her friends, teachers and family.<br><br>A simple night of babysitting turns into something that will forever change the course of her young life. A knife swooshing through the air. Screams from afar. Noises that play tricks with her mind. But not Laurie, she’s made of something stronger. Something that won’t give up.",images/CharPortraits/DLC2/LS_charSelect_portrait.png
6,Fleshandmud,Ace Visconti,Male,"A lucky gambler, improving the odds of the entire team.<br><br>His personal perks, <b>Open Handed</b>, <b>Up the Ante</b> and <b>Ace in the Hole</b>, boost the Luck of all Survivors and help with unlocking chests.","Ace Visconti is one charming guy. With his sharp Italian looks, grey-streaked hair and silver tongue, he could pass for an aging 50s movie star.<br><br>His heart has always belonged to the cards. From his roots as a poor boy in Argentina, he gamed, scammed, seduced and smooth-talked his way to a life of luxury as a high roller in the land of opportunity. Despite money always having a way of slipping through his fingers, Ace always figured he could win more.<br><br>He never fulfilled that ambition; eventually he racked up too many debts with the wrong kind of people. And when they finally came to collect, Ace was nowhere to be found. No one knew who tipped him off or where he fled to, but anyone who knew Ace Visconti can agree on one thing. He will survive: against all odds.",images/CharPortraits/DLC3/AV_charSelect_portrait.png
7,,"William ""Bill"" Overbeck",Male,"An old soldier, accustomed to dealing with critical situations.<br><br>His personal perks, <b>Left Behind</b>, <b>Borrowed Time</b> and <b>Unbreakable</b>, make him more powerful in dire moments.","It took two tours in Vietnam, a handful of medals, a knee full of shrapnel, and an honorable discharge to get William ""Bill"" Overbeck to stop fighting and try to live a peaceful life. He hated it.<br><br>After decades spent drifting aimlessly through dead end jobs, Bill went in for a routine surgery and woke up to find the world he knew was gone. A plague was turning normal people into mindless killing machines. Naturally, the first thing he did was fight his way home and put on his uniform. Making his way through rural ghost towns and pitch-black forests, he found other Survivors, and together they fled from the infected hordes.<br><br>In the end, Bill sacrificed himself to ensure their safety. His body was never found. Bill was left for dead. No one knows that he still has the only thing he ever wanted: an enemy to fight.",images/CharPortraits/L4D/BO_charSelect_portrait.png
8,Sparkofmadness,Feng Min,Female,"An objective-focused competitor who can quickly adapt her strategy to meet a vast range of challenging situations.<br><br>Her personal perks, <b>Technician</b>, <b>Lithe</b> and <b>Alert</b>, help her with repairing generators and locating the Killer.","Feng Min was a young girl when she first picked up computer games, and she was instantly hooked. Her parents saw no wrong with a few minutes in front of the screen, but as minutes turned into hours and sometimes days, they finally decided to pull the plug and force Feng Min to put more efforts into her studies.<br><br>She felt smothered by parents, so she left home and spent her time in internet cafés and LAN parties where the old rules didn’t apply. She spent hours playing, streaming, competing to rise to the top. In the gaming world, she finally found respect. Nicknamed the “Shining Lion,” she was invited to join a prestigious e-sports team where she found a sanctuary free of the misconceptions and prejudice she had felt from her parents and the non-gaming world.<br><br>Feng Min pushed her limits to prove she was the best. Sleep was less important to her than training. She pushed herself too far, slept too little, and her performance began to slip. She started to lose. At night, she would stay up, tormented by the thought of disappointing her parents… and her fans. She spiraled out of control and fell into a pattern of self-destruction. She started wandering the streets and visiting bars, waking up in places she didn’t remember. One day she woke up somewhere completely different…",images/CharPortraits/DLC4/FM_charSelect_portrait.png
9,Boreal,David King,Male,"A rugged scrapper, rewarding high-risk play.<br><br>His personal perks, <b>We're Gonna Live Forever</b>, <b>Dead Hard</b> and <b>No Mither</b>, reward an aggressive, confrontational playstyle but leave him vulnerable.","The single child of a wealthy family, David King seemed destined for greatness. While growing up in Manchester, he demonstrated serious potential in both sports and academics, and with his family connections, all doors were open to him. He could have succeeded at anything, if it weren't for his combative nature. David lived for the adrenaline rush of a good fight and would go out of his way to get into one.<br><br>His robustness and athletic abilities led him to rugby, where he could cut loose and really cause a ruckus. King excelled and gained a reputation as a promising, if somewhat reckless, rookie. His meteoric rise came to an abrupt end when he lost his temper and assaulted a referee, earning himself a lifetime ban from the league and cutting short what most people assumed was going to be a long, successful career. King was unconcerned; money was no issue, so he took it as an early retirement and focused on other fun things to do.<br><br>Free from the constraints of a career and enabled by the wealth of his family, David King spent most of his time at the pub, drinking, watching games, and getting into fights. Some might say he was wasting his life away. Not many people knew that he was an occasional ""debt collector"" or that he fought in clandestine bare-knuckle fight clubs.<br><br>When David King stopped showing up at the pub, the few friends he still had were not surprised. They figured he had finally picked a fight with someone stronger than he was. In a way, they were right.",images/CharPortraits/DLC5/DK_charSelect_portrait.png
